,id,type,title,director,genres,overview,vote_average,vote_count
0,s4,Movie,9,Shane Acker,"['Action & Adventure, Independent Movies, Sci-Fi & Fantasy']","In a postapocalyptic world, rag-doll robots hide in fear from dangerous machines out to exterminate them, until a brave newcomer joins the group.",6.6,1262
1,s5,Movie,21,Robert Luketic,['Dramas'],A brilliant group of students become card-counting experts with the intent of swindling millions out of Las Vegas casinos by playing blackjack.,6.5,1375
2,s45,Movie,Æon Flux,Karyn Kusama,"['Action & Adventure, Sci-Fi & Fantasy']","Aiming to hasten an uprising, the leader of an underground rebellion dispatches acrobatic assassin Aeon Flux to eliminate the government's top leader.",5.4,703
3,s72,Movie,16 Blocks,Richard Donner,['Action & Adventure'],"Tasked with escorting a prosecution witness to court, an aging cop gears up for the 16-block trek – but they'll be lucky to make it there alive.",6.2,661
4,s73,Movie,17 Again,Burr Steers,['Comedies'],"Nearing a midlife crisis, thirty-something Mike wishes for a ""do-over"" – and that's exactly what he gets when he wakes up to find he's 17 again.",6.1,1350
5,s85,Movie,21 & Over,"Jon Lucas, Scott Moore",['Comedies'],Jeff's straight-and-narrow life changes abruptly when his buddies take him out for a birthday bash – the night before a crucial med school interview.,5.7,737
6,s95,Movie,28 Days,Betty Thomas,"['Comedies, Dramas']","After her drunken antics result in property damage, an alcoholic journalist enters rehab – and soon meets a fellow resident who changes her outlook.",6.0,208
7,s97,Movie,3 Days to Kill,McG,['Action & Adventure'],A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him – if he can survive its side effects.,6.0,883
8,s105,Movie,30 Minutes or Less,Ruben Fleischer,"['Action & Adventure, Comedies']",Two crooks planning a bank heist wind up abducting a pizza delivery driver and force him to commit the robbery — with a strict time limit.,5.6,531
9,s122,Movie,50 First Dates,Peter Segal,"['Comedies, Romantic Movies']","After falling for a pretty art teacher who has no short-term memory, a marine veterinarian has to win her over again every single day.",6.6,2105
10,s123,Movie,50/50,Jonathan Levine,"['Comedies, Dramas, Independent Movies']",An otherwise healthy twentysomething has a comically early midlife crisis when he gets slapped with a cancer diagnosis and a 50-50 chance of survival.,7.0,1261
